model_name, Similarity, MAE, RMSE, FSD, R_score, NSE, Time


results_combine (FIRST),0.8654460698896331,12.653365015983582,16.304074228427123,0.4878401230289318,0.4353482938554435,0.15978097144321568,2024-06-05 22:19:31.274391
results_combine (LAST),0.9034395850733629,10.582507371902466,13.959690433915055,0.18344816689774648,0.9254512236361878,0.7211903256187118,2024-06-05 15:55:48.131576
results_combine (MIDDLE),0.8585848737359227,18.228672742843628,20.67885443384792,0.6472573463200436,0.8703693898671448,0.6201228717533861,2024-06-05 16:20:00.033564
results_combine (MIDDLE),0.846637526552334,15.329204678535461,17.736068996877126,0.8878957159381091,0.8559520489598039,0.5104651717033344,2024-06-05 17:22:00.026165
results_combine (MIDDLE),0.890412423465322,12.459428787231445,15.574403712391815,0.5368503954328111,0.9320898722979096,0.667175822645137,2024-06-05 17:58:38.867364
results_combine (MIDDLE),0.847408487027963,19.571811846146982,24.02054504672873,0.38460761305874247,0.7244852951925547,0.2819720289831452,2024-06-05 18:20:18.173046
results_combine (MIDDLE),0.8248001186013242,12.409255266189575,14.241665096531925,0.9591032089075866,0.6409573840336693,0.3164338990592972,2024-06-05 18:47:44.458872
results_combine (MIDDLE),0.8156953231625743,21.077731609344482,24.580358989043805,0.461519548011678,0.4259287172835912,-0.3223337816858749,2024-06-05 19:25:00.891659
results_combine (MIDDLE),0.8470250619695049,15.282926519711813,17.623675729375307,0.28363897810358996,0.7061893395263644,0.4767581454765155,2024-06-05 19:45:12.374491
results_combine (MIDDLE),0.8382985716045045,22.42665931582451,26.3853258841102,0.5085288854119879,0.5662246228348606,0.319771314010008,2024-06-05 20:28:01.412945
results_combine (MIDDLE),0.7886368936572553,26.110991319020588,30.250490709659303,0.4792151505477029,0.271383205018796,-0.08870242237684733,2024-06-05 21:05:47.480587
results_combine (MIDDLE),0.8907491966655785,12.696219970782598,15.490607187282786,0.04330819379855575,0.8517716506596056,0.7128867204950529,2024-06-05 21:25:45.006490


epochs=200, batch_size=16, callbacks (patience=30), validation_split=0.2
results_combine (FIRST),0.7382857525061173,28.78902057806651,33.043590917338484,0.30897264519323014,-0.11090755432164992,-2.4512363253801532,2024-06-06 16:26:05.798554
results_combine (LAST),0.8211305939391123,20.53127400080363,21.74737008314627,0.11239311625885161,0.8016608676347907,0.3233411689045874,2024-06-06 17:22:21.468568
results_combine (MIDDLE),0.8327643895401909,22.600727478663128,26.020353319807672,0.4870987289675596,0.7806785501897012,0.3985263960133615,2024-06-06 17:52:18.124821
results_combine (MIDDLE),0.867863770515437,12.734190861384073,14.6177683208589,0.7400845619355889,0.9583815150921408,0.6674698677729239,2024-06-06 18:28:08.895283
results_combine (MIDDLE),0.9123997650360437,9.688235620657602,12.549748604424993,0.13141820160105108,0.9184245815821995,0.7838963693235648,2024-06-06 18:54:08.401227
results_combine (MIDDLE),0.8871174516362701,13.472320477167765,16.398607288911464,0.3251939436183353,0.8248314442155276,0.6653509638934239,2024-06-06 19:13:24.582185
results_combine (MIDDLE),0.754166064632651,20.58852020899455,25.294320793282388,0.420555939887824,-0.0629423916631138,-1.156279350986655,2024-06-06 19:43:48.890951
results_combine (MIDDLE),0.8575525250216828,15.475447614987692,18.879840157064784,0.6647800435401727,0.47012361738423136,0.21988024352166347,2024-06-06 20:20:11.616134
results_combine (MIDDLE),0.8688848566841466,13.203236699104309,16.956320822466495,0.250821227113673,0.8069687048291857,0.5156350155641902,2024-06-06 20:41:02.746934
results_combine (MIDDLE),0.883775238586162,14.831514835357666,16.853456399523612,0.5054248748742513,0.9204890023562494,0.7224712488873536,2024-06-06 21:02:58.826942
results_combine (MIDDLE),0.7733026750124443,29.614053030808765,35.58843398046902,0.18707126900513513,0.7015595581671339,-0.5068225020302644,2024-06-06 21:34:41.666081
results_combine (MIDDLE),0.9051646411599884,10.746994217236837,13.050391419006383,0.05522555833139149,0.9116148804306582,0.7962191015267497,2024-06-06 22:13:51.325349


epochs=200, batch_size=16, callbacks (patience=30), validation_split=0.2
results_combine (FIRST),0.789373889751758,22.411027530829113,28.016530491979243,0.7081832674122299,0.26918843219819233,-1.481012368616808,2024-06-07 00:02:39.907628
results_combine (LAST),0.8619520384254158,14.956374088923136,15.693136441832662,0.005674882570772674,0.8762520833758433,0.6476487915189326,2024-06-07 01:29:27.052574
results_combine (MIDDLE),0.8203162372917666,25.728379646937054,32.19187962682644,0.6483994258384322,0.5273056829761629,0.07937478776302942,2024-06-07 02:14:48.143249
results_combine (MIDDLE),0.8932021594710876,10.027801593144735,11.98464240504884,0.5491431688819447,0.9806872451199136,0.7764786475264037,2024-06-07 03:36:07.039563
results_combine (MIDDLE),0.8315646123816117,20.487221548954647,23.759183003252822,0.507011876695087,0.8778492866119695,0.22544008720662945,2024-06-07 04:21:19.582534
results_combine (MIDDLE),0.8655330850141305,17.03360911210378,21.78305544551608,0.6235825157310605,0.6660205192323678,0.40950905654135417,2024-06-07 04:49:44.999137
results_combine (MIDDLE),0.8448106343009129,10.505867799123129,11.64822432746827,0.7340602848059649,0.8534696486634403,0.5427239754021997,2024-06-07 05:24:53.176985
results_combine (MIDDLE),0.9062788616202897,9.609891414642334,12.5506971287266,0.13172943877152035,0.8277475181639699,0.6552531163175165,2024-06-07 06:16:38.744947
results_combine (MIDDLE),0.8023075202499635,22.374136845270794,28.261061234904627,0.3978502789202081,0.5240901941081035,-0.3455084258685486,2024-06-07 06:43:33.848388
results_combine (MIDDLE),0.823574936778415,25.64898455142975,31.421135090363542,0.658216510793448,0.49084585162577066,0.0353411400344098,2024-06-07 07:36:57.398927
